name,age,gender,marital_status,cibil_score,monthly_income,employment_type,family_size,dependents,education_level
Kirsten Henderson,27,Female,Married,738,48881,Self-Employed,5,0,PhD
Kendra Salazar,40,Female,Single,430,143372,Unemployed,2,1,PhD
Tiffany Rivera,46,Male,Single,888,111055,Salaried,4,0,High School
Steven Perez,40,Male,Married,352,38711,Unemployed,3,2,High School
Lisa Fuller,31,Male,Married,755,34496,Unemployed,2,1,High School
Lauren Randolph,58,Male,Married,589,131253,Unemployed,4,3,PhD
Adam Ray PhD,35,Female,Married,765,180535,Unemployed,4,2,High School
Sandra Lee PhD,38,Female,Single,875,42039,Unemployed,2,0,PhD
Julia Ritter,39,Female,Single,747,177477,Self-Employed,5,1,PhD
Mark Lloyd,42,Female,Single,705,120345,Self-Employed,6,5,PhD
Miss Katrina Ryan,47,Female,Married,320,22285,Unemployed,4,2,PhD
Yesenia Nguyen,45,Female,Single,465,127693,Unemployed,4,1,High School
Roger Rodriguez,37,Female,Single,600,182175,Unemployed,1,0,PhD
Marvin Barber,42,Male,Single,764,50417,Salaried,3,0,Master
Wendy Anderson,41,Male,Married,426,176053,Salaried,6,5,Master
Ryan Brooks,22,Female,Married,512,163725,Salaried,1,0,Bachelor
Justin Robertson,44,Male,Married,716,92302,Unemployed,4,1,PhD
Mike Murray,50,Male,Single,477,15353,Unemployed,4,3,High School
Jeffery Preston,52,Male,Married,628,48984,Self-Employed,3,2,High School
Heather Moreno,26,Male,Single,687,29386,Salaried,5,1,Master
Patrick Quinn,31,Female,Single,538,130124,Unemployed,6,0,High School
Daniel Howard,46,Male,Single,490,40702,Salaried,5,0,High School
Michele Brown,56,Male,Married,769,108162,Salaried,2,0,High School
Julie Hill,43,Female,Single,617,57724,Unemployed,4,3,Master
Elizabeth Gonzalez,43,Male,Single,743,42746,Salaried,3,1,PhD
Johnny Lewis,21,Male,Single,397,45337,Salaried,6,0,High School
Michael Davis,43,Female,Married,522,56273,Unemployed,4,1,High School
Joe Lambert,51,Female,Single,416,75532,Unemployed,5,4,PhD
Michael White,42,Female,Single,319,28868,Self-Employed,6,4,High School
Amy Bray,41,Female,Married,900,173986,Self-Employed,1,0,Bachelor
Taylor Good,28,Male,Single,385,147689,Unemployed,2,1,High School
Michael Gregory,59,Female,Single,806,44671,Unemployed,2,0,High School
Anthony Sims,53,Female,Married,670,188771,Self-Employed,4,3,Master
Douglas Bryant,45,Female,Single,525,141284,Unemployed,3,1,PhD
Kelly Alvarez,52,Female,Single,870,85779,Salaried,3,1,Master
Misty Gonzalez,33,Male,Married,554,41475,Salaried,5,0,PhD
Anthony Brown,37,Female,Married,317,63106,Self-Employed,3,0,PhD
Todd Clark,27,Male,Single,502,185877,Unemployed,5,2,Bachelor
Antonio Austin,35,Male,Married,869,47028,Self-Employed,3,2,Master
Hunter Shaw,36,Female,Married,681,31861,Self-Employed,6,1,PhD
Lori Howard,39,Male,Single,891,21377,Self-Employed,2,1,Bachelor
Jamie Howell,53,Female,Single,859,98643,Unemployed,6,2,Bachelor
Michael Ramirez,54,Female,Single,617,172875,Unemployed,3,1,High School
Amber Johnson,28,Female,Married,614,117015,Self-Employed,1,0,High School
Erik Hughes,49,Female,Married,684,194069,Self-Employed,2,1,Bachelor
Trevor Harvey,29,Male,Married,814,82189,Self-Employed,3,2,PhD
Ryan Wilson,23,Male,Married,813,83204,Self-Employed,6,4,PhD
Derek Horn,33,Male,Single,828,193402,Salaried,1,0,Bachelor
David Burch,33,Male,Married,778,60161,Unemployed,6,1,High School
Kelly Lee,40,Male,Single,883,149611,Salaried,6,3,High School
Alexander Hoffman,59,Female,Single,455,126552,Salaried,6,4,PhD
Beth French,25,Female,Single,730,109621,Salaried,3,0,Bachelor
Randall Peters,39,Male,Married,430,73859,Unemployed,6,3,High School
Christopher Moore,44,Female,Single,656,69336,Unemployed,5,3,Bachelor
John Fitzgerald,54,Male,Married,518,94955,Unemployed,1,0,Bachelor
Andrew Greene,48,Male,Married,742,136697,Unemployed,4,3,Master
Thomas Jones,38,Female,Single,851,193578,Salaried,1,0,Bachelor
Heather Stout,40,Male,Married,607,128770,Unemployed,1,0,Master
Susan Patterson,25,Male,Single,710,69912,Salaried,2,0,High School
Linda Murray,36,Male,Single,522,141217,Salaried,6,5,High School
Alicia Morris,27,Female,Married,899,130785,Salaried,6,1,High School
Joel Cooper,29,Female,Married,336,96146,Unemployed,2,0,PhD
Brenda Vega,42,Male,Single,828,44363,Unemployed,1,0,High School
Allen Holloway,52,Female,Married,574,168547,Unemployed,5,2,High School
Angela Baldwin,56,Female,Single,505,169210,Self-Employed,4,0,PhD
Daniel Quinn,27,Male,Married,554,16003,Salaried,6,1,Master
David Rodgers,58,Male,Married,688,180927,Salaried,1,0,Bachelor
Denise Garner,23,Male,Single,420,29698,Unemployed,2,1,Bachelor
Shannon Ward,46,Male,Single,803,85869,Salaried,5,0,PhD
Katelyn Anderson,53,Female,Married,502,104203,Self-Employed,4,2,PhD
Julie Hinton,43,Male,Single,446,49856,Self-Employed,6,3,Master
Joseph Nguyen,51,Female,Single,397,105156,Salaried,6,0,High School
Sean Jones,33,Female,Single,576,42948,Self-Employed,1,0,Master
